호선,역,인구_100,가구_100,주택_100,사업체수_100,교육시설_100,공공기관_100,금융시설_100,의료시설_100,대중교통_100,방범.방재_100,백화점.중대형마트_100,편의점_100,극장.영화관_100,도서관.박물관_100,인구_300,가구_300,주택_300,사업체수_300,교육시설_300,공공기관_300,금융시설_300,의료시설_300,대중교통_300,방범.방재_300,백화점.중대형마트_300,편의점_300,극장.영화관_300,도서관.박물관_300,인구_500,가구_500,주택_500,사업체수_500,교육시설_500,공공기관_500,금융시설_500,의료시설_500,대중교통_500,방범.방재_500,백화점.중대형마트_500,편의점_500,극장.영화관_500,도서관.박물관_500
1,도봉산,429,179,92,121,0,0,0,5,4,0,0,2,0,0,5014,1767,1600,213,2,0,0,10,6,0,0,2,0,0,16113,5719,5227,713,7,1,1,34,27,1,0,7,0,0
1,창동,2706,1173,1084,1035,2,4,31,62,9,0,1,15,0,0,10960,4067,3882,1418,3,7,39,84,16,1,2,17,0,1,31842,11137,10889,1721,6,9,41,117,19,2,2,18,0,1
1,석계,2146,1016,595,526,1,2,4,31,16,0,0,6,0,1,14551,5810,4270,1048,1,3,5,55,19,0,0,8,1,1,34952,13270,10409,1524,5,5,9,79,31,1,0,11,1,1
1,청량리,1346,684,465,1002,0,1,19,53,14,0,0,7,1,0,6188,2920,2018,2595,0,1,48,69,19,0,2,10,3,0,19000,8688,5485,4873,0,8,62,110,32,4,2,15,3,0
1,제기동,4453,2394,1999,1049,1,3,12,69,7,0,0,7,0,1,9717,4464,3010,2026,0,4,14,106,10,1,0,9,0,1,23489,10735,7815,5049,3,8,58,159,29,2,1,18,1,1
1,신설동,1969,1138,686,1748,2,3,52,13,8,1,0,14,0,1,7792,4168,2991,3249,5,7,95,39,18,2,0,28,0,1,19542,9501,6463,5286,5,9,112,66,32,3,1,40,1,1
1,동묘앞,3713,1963,1606,1334,5,3,15,43,11,1,0,10,0,0,10625,5274,3634,3437,6,4,36,67,16,1,0,19,0,1,25957,12241,8879,16704,12,14,99,114,34,6,1,44,3,3
1,동대문,1488,752,453,964,0,0,11,10,6,0,0,6,0,0,7802,3836,2467,23756,6,14,86,138,33,6,0,34,4,1,18314,8526,5923,25707,12,16,96,171,45,8,0,46,4,2
1,종로5가,1204,726,510,7102,2,4,39,91,13,1,0,14,1,0,3692,1950,1482,17575,2,9,93,135,38,5,0,26,2,1,6060,3305,2450,24775,6,14,123,162,55,6,0,38,4,1
1,종로3가,739,474,413,4059,0,8,109,82,29,5,0,32,4,5,2786,1836,1209,14115,2,10,150,103,35,5,0,44,4,9,5312,3085,2293,21395,4,20,323,169,54,7,0,86,9,25
1,종각,739,474,413,4059,1,8,113,69,26,2,0,33,2,18,1878,1266,1103,8485,3,32,378,160,41,6,0,67,4,25,3995,2347,1782,15739,11,42,766,303,78,9,4,111,14,30
1,시청,796,422,398,4964,7,19,334,78,40,4,5,37,5,5,804,428,410,5732,7,20,423,103,44,4,5,43,5,5,2764,1101,955,20468,9,42,853,317,88,8,7,104,15,13
1,서울역,915,603,358,848,0,1,25,36,11,0,0,18,0,0,5119,2980,2147,1582,0,4,93,50,24,2,1,27,1,0,17824,8943,6175,3850,2,12,205,102,37,3,1,47,1,2
1,노량진,1758,1150,699,1590,0,3,9,15,13,2,0,7,0,0,5845,4103,1416,2225,1,6,13,21,16,2,0,20,0,0,15091,8803,3583,3443,4,10,39,47,23,2,0,30,0,1
1,신길,2212,1493,1301,113,1,0,0,0,2,0,0,3,0,0,8103,4578,3662,2710,4,4,66,37,16,3,1,26,2,0,16542,7946,6181,3499,9,7,87,57,23,4,1,36,2,0
1,신도림,1272,667,669,998,2,0,37,20,6,0,1,11,2,0,9803,4096,3847,2956,2,2,76,54,13,0,3,21,2,0,28319,11272,10224,3915,3,3,85,85,26,0,3,28,2,0
1,가산디지털단지,900,597,504,6646,0,4,66,51,33,1,0,31,0,0,8846,5226,2358,897,0,4,66,51,33,1,0,32,0,1,7497,4345,2439,11980,1,7,106,75,55,1,0,62,1,2
1,온수,2339,1012,964,179,0,0,2,4,10,0,0,6,0,0,6305,2566,2412,281,1,1,3,7,13,1,0,6,0,0,16408,5932,5639,806,18,1,5,19,33,1,0,11,0,1
2,까치산,4351,2055,1646,578,0,0,10,55,7,0,0,7,0,0,18312,8191,6226,1362,2,3,12,92,14,1,0,18,0,2,45413,19667,15471,2088,3,5,14,124,19,1,0,30,0,2
2,신정네거리,3155,1500,560,717,0,2,8,51,7,1,0,5,0,0,14994,6609,3501,1166,0,3,10,68,10,1,0,9,0,0,36618,15170,9507,2001,9,5,12,107,24,1,0,17,0,1
2,양천구청,1513,488,488,27,2,1,0,1,5,1,0,1,0,0,13416,4608,4488,437,3,1,2,30,9,1,0,3,0,0,30001,10558,10418,1181,7,7,12,75,21,2,0,12,0,0
2,도림천,1275,688,635,584,2,0,4,3,6,0,0,2,0,1,6164,2284,2209,810,3,0,6,7,12,0,0,3,0,1,20317,6896,6787,1304,5,1,9,38,25,0,0,8,0,2
2,신설동,1969,1138,686,1748,2,3,52,13,8,1,0,14,0,1,7792,4168,2991,3249,5,7,95,39,18,2,0,28,0,1,19542,9501,6463,5286,5,9,112,66,32,3,1,40,1,1
2,용두,2286,1269,997,478,0,4,9,20,8,1,1,3,0,1,9717,4464,3010,2026,0,9,19,36,11,3,1,8,0,3,22997,10222,6768,5617,8,13,60,134,34,3,1,15,1,3
2,신답,1376,521,372,103,0,0,0,2,9,0,0,0,0,0,10153,3948,3127,1312,3,1,16,24,19,0,0,8,0,0,24272,10105,7422,3035,6,4,26,53,28,0,0,15,0,2
2,용답,4054,1775,824,168,4,0,3,8,4,0,0,6,0,0,11777,5276,2042,555,5,2,4,23,5,1,0,8,0,0,2312,10209,4482,1585,22,6,26,57,17,2,0,18,0,1
2,충정로,2482,1233,1008,933,0,3,35,24,15,0,0,10,0,0,12499,5577,4794,1862,6,11,84,44,27,6,0,19,1,1,23034,10154,8187,2897,17,16,113,78,48,7,1,28,1,1
2,아현,2316,1222,548,871,7,1,13,37,18,0,0,5,0,0,9919,4371,3158,1137,7,3,16,50,25,0,0,5,0,1,27294,11391,8870,1798,15,4,25,75,34,1,0,10,0,1
2,이대,3186,2237,1649,1032,4,2,8,42,11,0,0,11,0,0,13865,8207,5040,2403,27,8,34,78,29,1,0,24,3,0,27448,14214,9397,3001,51,9,38,102,43,2,0,30,4,0
2,신촌,2816,1869,1125,1587,4,2,29,107,21,1,2,18,0,0,8798,5407,2984,2868,17,4,59,138,29,1,2,39,4,1,18591,11285,6704,3957,18,5,62,176,54,1,2,57,6,2
2,홍대입구,1496,845,487,1541,0,1,47,45,8,1,0,9,5,1,6982,3993,2187,4651,1,2,90,95,25,1,0,38,11,7,20503,11194,6291,6702,9,5,100,122,42,3,0,62,15,9
2,합정,2647,1319,1080,1137,0,2,26,23,5,1,1,13,3,0,8835,4185,3191,2574,2,4,47,56,13,3,1,29,5,0,19525,9115,6513,4544,3,5,73,79,27,4,1,51,9,1
2,당산,1809,1188,716,518,0,2,36,12,3,1,0,6,0,0,8936,24632,3864,1076,1,4,49,52,11,2,0,13,0,0,19053,8579,7260,2005,10,6,81,87,31,2,0,21,0,2
2,영등포구청,1957,1042,523,1700,1,2,61,31,6,0,0,11,0,0,13052,5738,4127,2634,6,6,82,59,17,1,0,19,0,2,24757,10533,7789,4078,6,8,101,78,34,1,1,24,0,2
2,문래,1929,782,663,899,1,1,15,31,7,0,1,8,0,1,14024,5258,4729,3728,5,5,74,65,28,1,1,19,1,2,21597,8748,7171,6109,5,7,92,79,39,1,1,27,1,2
2,신도림,1272,667,669,998,2,0,37,20,6,0,1,11,2,0,9803,2096,3847,2956,2,2,76,54,13,0,3,21,2,0,28319,11272,10223,3915,3,3,85,5,26,0,3,38,2,0
2,대림,2604,1193,836,283,1,0,5,7,5,0,0,4,0,0,11115,5140,3532,1414,3,3,27,51,10,1,0,14,0,0,31864,14728,10890,4628,9,10,79,138,29,3,0,31,0,2
2,구로디지털단지,1965,1010,706,462,3,0,17,18,9,0,0,6,0,0,11199,6057,3947,2950,3,5,86,56,28,1,1,23,0,0,22986,11838,7597,4570,3,6,109,84,37,1,2,36,0,0
2,신대방,3468,1722,737,404,1,1,3,17,4,1,0,6,0,0,11848,6092,2561,953,4,5,8,37,13,2,0,12,0,0,32218,15176,7565,2020,8,8,15,87,24,2,0,22,0,0
2,신림,3836,2668,1399,1575,0,1,16,61,11,1,1,20,1,0,13866,9184,4100,2370,0,2,26,95,16,1,1,32,1,0,37433,22352,9835,3404,3,9,31,128,29,3,1,48,1,1
2,봉천,3062,1533,870,720,2,1,12,40,5,0,0,7,0,1,16822,7945,4540,1387,4,4,16,71,8,1,0,11,1,2,36099,17434,10578,2486,8,6,28,124,20,1,0,23,1,2
2,서울대입구,3693,2515,2233,843,0,0,17,49,9,0,0,15,1,0,15499,9721,6324,2309,2,4,34,121,16,0,0,28,1,1,38830,22596,12628,3355,12,11,42,163,26,5,0,41,1,2
2,낙성대,2903,2007,542,401,0,0,6,27,5,0,0,7,0,0,18136,11331,3628,1192,6,3,14,65,13,1,0,20,0,0,33991,18956,7484,1893,8,8,16,104,30,4,0,26,0,3
2,사당,2128,1095,742,1060,1,1,42,43,15,0,0,19,0,0,9542,4754,3028,2065,3,4,79,73,21,0,1,30,0,1,27593,12917,7809,3030,5,10,103,116,36,4,1,38,0,1
2,방배,2469,1036,890,924,1,3,11,55,17,0,0,6,0,0,8571,3345,2706,1396,3,4,19,67,19,0,0,9,0,0,21825,8320,6618,2253,6,4,34,101,33,0,0,16,0,0
2,서초,2740,1163,879,2832,0,12,60,45,18,2,0,13,0,1,3150,1322,994,2852,1,12,60,45,18,2,0,13,0,1,8904,3785,2890,4587,1,15,110,76,26,2,0,25,2,1
2,교대,1937,1081,678,3718,0,8,90,144,21,1,0,17,0,0,6129,2589,1760,4561,3,9,112,173,22,1,0,24,1,0,18391,6875,5678,5948,4,10,158,197,30,1,0,35,1,0
2,강남,2442,1269,1083,3197,0,4,139,211,20,0,0,37,3,0,6984,3808,3380,4706,1,4,169,335,39,0,0,49,5,2,14520,7350,6211,7872,4,11,314,419,53,0,0,78,5,2
2,역삼,1952,1055,759,2562,0,0,167,49,8,0,0,23,0,1,5841,3345,1906,4114,0,3,236,96,12,0,0,40,0,1,14329,8144,4879,6522,0,4,306,131,16,0,0,58,0,2
2,선릉,1980,1283,1217,3026,0,0,212,111,5,0,0,30,0,0,8905,4590,3713,4612,4,2,269,145,12,0,0,47,0,0,18675,9190,7333,6271,4,5,320,176,19,0,0,65,1,0
2,삼성,1458,678,557,3520,1,6,160,91,27,3,2,27,3,1,1905,878,691,3696,3,6,165,95,28,3,2,28,3,1,4593,2130,1684,4761,5,7,206,113,33,4,2,45,4,1
2,종합운동장,0,0,1,245,2,2,4,1,4,1,0,10,1,0,2171,729,734,246,2,2,4,1,4,1,0,10,1,0,10966,3888,3857,1912,3,8,68,36,19,3,0,32,2,1
2,잠실새내,5139,1893,1602,1161,0,3,31,108,9,1,0,8,0,1,17816,6253,5448,1793,0,3,47,155,10,1,0,16,0,1,43532,15720,1373,2394,13,6,52,185,15,2,0,26,0,1
2,잠실,2607,909,924,977,0,2,14,17,15,0,5,13,1,0,5472,1883,1901,1456,0,2,99,45,19,0,6,17,1,0,13965,4833,4882,2446,5,7,112,88,24,1,6,20,1,0
2,잠실나루,2674,881,883,200,2,0,4,22,2,0,0,3,0,0,14913,5016,5052,784,5,2,11,58,7,0,0,7,0,0,28917,9522,9593,1629,7,3,102,95,21,0,0,14,0,0
2,강변,87,41,26,1321,0,1,17,24,15,0,1,7,1,0,7592,2716,2515,1589,1,1,19,37,16,0,1,12,1,0,22192,7918,7512,2203,7,6,30,63,27,0,1,14,1,1
2,구의,1915,933,374,645,0,3,11,19,5,0,0,6,0,0,11308,5714,3205,1627,0,5,24,71,10,0,0,15,0,1,30451,14253,7915,2870,12,7,37,107,18,0,0,29,0,1
2,건대입구,3154,2043,690,989,0,1,7,50,7,0,0,14,0,0,12199,6210,1946,2059,15,3,23,78,9,0,2,27,2,2,33265,16623,6989,3106,18,3,29,107,20,0,7,38,3,2
2,성수,1448,666,355,1128,0,2,9,16,4,0,0,10,0,0,8760,3880,2687,4633,2,8,32,41,28,3,1,27,0,0,14622,6338,4437,5658,5,9,37,51,36,3,1,34,0,0
2,뚝섬,2855,1298,650,938,1,0,9,16,6,0,0,6,0,0,13384,5734,3693,2867,3,3,22,49,18,1,0,21,0,0,23701,10335,6524,4294,7,5,27,69,26,1,0,33,0,1
2,한양대,1851,451,101,212,16,1,3,3,5,0,0,6,0,0,4650,1985,942,619,16,2,5,6,10,1,0,13,1,0,10440,5252,2672,1826,21,7,12,20,23,3,1,26,2,0
2,왕십리,1099,577,509,488,0,5,3,6,7,2,1,7,1,0,11829,6219,3350,2071,2,8,37,77,15,3,1,23,1,2,27011,12846,6816,3434,26,12,51,120,32,5,1,41,2,3
2,상왕십리,2424,1262,860,305,1,0,2,3,9,0,0,3,0,0,12224,5682,3249,1415,2,4,28,60,17,2,0,8,0,1,31343,13087,9193,2389,8,8,35,107,27,3,0,20,0,2
2,신당,2799,1374,766,1138,0,4,11,31,3,2,0,5,0,1,11836,5779,3764,14447,8,11,47,86,15,8,0,30,2,2,23071,10663,7466,15356,9,14,53,106,26,8,0,34,2,4
2,동대문역사문화공원,924,486,421,5447,0,3,66,26,13,0,0,12,2,0,4602,2440,1841,16856,4,11,101,53,24,6,0,24,4,1,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1
2,을지로4가,1803,1227,852,10188,1,3,62,31,15,1,0,16,2,0,1899,1294,912,14138,1,3,75,4,24,1,0,17,2,1,5224,3037,2343,27738,3,11,207,113,48,6,0,56,3,1
2,을지로3가,202,148,92,2921,2,2,59,20,3,1,0,17,0,0,1892,1040,766,16458,4,13,413,182,45,5,0,72,10,4,4843,2798,1991,25600,4,25,560,258,64,10,0,105,14,10
2,을지로입구,919,349,250,7938,0,22,573,177,47,4,4,58,9,3,919,349,250,7938,2,22,573,177,47,4,4,58,9,3,3386,1921,1650,23387,10,46,854,332,94,29,6,124,13,29
2,시청,796,422,398,4964,7,19,334,78,40,4,5,37,5,5,804,428,410,5732,7,20,423,103,44,4,5,43,5,5,2764,1101,955,20468,9,42,853,317,88,8,7,104,15,13
3,오금,2170,818,527,318,3,4,1,8,6,2,0,2,0,1,7408,2807,2152,794,4,5,6,22,11,2,0,7,0,1,21904,7976,6257,1769,10,7,8,52,21,4,0,16,0,1
3,경찰병원,2161,869,658,210,0,1,4,4,2,1,0,5,0,0,17772,6856,5709,2129,0,5,40,47,12,1,0,14,0,0,31394,11834,9614,3702,9,7,51,103,28,2,0,25,0,1
3,가락시장,2243,1026,870,4495,0,2,43,57,11,1,1,8,0,0,6137,2451,2222,4706,0,2,45,61,12,1,1,9,0,0,21445,8033,7295,7435,2,7,72,89,29,2,3,28,2,1
3,수서,899,507,483,1226,1,3,14,34,15,1,0,7,0,0,9354,4341,4239,1363,6,3,14,44,17,1,0,9,0,1,14632,6881,6703,1485,7,3,19,48,22,1,0,11,0,1
3,일원,2286,702,702,37,0,0,1,1,5,0,0,1,0,0,13122,4282,4188,287,7,3,5,24,19,1,0,4,0,1,19616,6432,6080,337,8,3,5,31,20,1,0,5,0,1
3,대청,2087,871,783,345,3,3,4,27,7,1,0,4,0,1,10385,3792,3256,795,5,3,7,57,9,1,0,6,0,1,25371,10030,8321,1134,8,3,9,71,12,1,0,9,0,1
3,학여울,3227,1031,1034,47,0,0,0,2,2,0,0,2,0,0,10829,3419,3420,184,0,0,3,8,7,0,0,6,0,0,27717,9669,9700,763,5,6,13,48,15,1,0,12,1,1
3,대치,1571,474,471,1013,1,5,22,80,7,1,0,5,1,1,13370,4050,4051,1211,2,5,24,88,10,1,0,7,1,1,33711,10295,10269,1716,7,7,34,122,14,2,0,12,1,2
3,도곡,3233,1039,1042,106,4,0,5,6,7,0,0,3,0,0,13739,4503,4522,700,5,4,38,58,14,1,0,8,0,0,33503,10870,10804,1446,15,5,62,102,22,1,0,16,0,2
3,매봉,3734,1393,1264,375,1,1,3,10,5,1,0,6,0,0,9277,3513,3170,981,4,3,11,25,12,1,0,12,0,0,19475,7017,6631,1915,9,5,53,62,16,2,0,19,0,1
3,양재,2426,1154,951,1237,2,3,25,77,21,0,0,11,0,0,7286,3550,2342,2473,6,6,49,125,29,0,0,22,0,0,14329,6372,4527,3892,6,7,78,150,38,0,0,32,1,0
3,남부터미널,2997,1650,1404,2282,1,3,45,50,13,1,0,15,0,1,11243,4982,4458,3724,3,3,76,67,24,1,0,28,2,2,18848,7904,6545,5405,11,6,109,100,34,2,0,43,6,3
3,교대,1937,1081,678,3718,0,8,90,144,21,1,0,17,0,0,6129,2589,1760,4561,3,9,112,173,22,1,0,24,1,0,18301,6875,5678,5948,4,10,158,197,30,1,0,35,1,0
3,고속터미널,0,0,3,1901,0,2,4,3,11,1,1,12,1,0,7106,2378,2341,3146,3,5,36,106,22,1,2,19,1,0,22334,7271,7206,3504,5,7,57,130,29,1,2,27,1,1
3,잠원,2410,896,882,203,0,2,3,12,4,1,0,1,0,0,13590,4981,4960,277,4,2,3,26,8,1,0,1,0,0,28617,10585,9875,1756,7,3,19,126,18,1,1,10,0,0
3,신사,2205,1242,638,1994,0,1,42,153,8,0,0,19,3,1,6854,3602,2256,3566,0,2,65,196,16,0,0,32,3,1,17893,8425,5438,6089,1,3,75,242,22,0,1,46,4,1
3,압구정,2396,935,835,2140,0,2,56,374,9,0,0,19,3,0,6593,2418,2329,2204,1,2,57,374,9,0,1,19,3,1,15954,6126,5422,3973,8,4,82,508,17,0,1,37,3,2
3,옥수,3011,1161,890,394,3,0,4,19,8,0,0,3,0,0,10796,4120,3862,432,4,0,4,24,9,0,0,4,0,0,24637,9743,9276,851,10,3,10,48,32,1,0,5,0,0
3,금호,3697,1498,1093,265,0,0,2,20,8,0,0,4,0,0,12808,5041,4264,454,3,2,3,30,24,1,0,5,0,0,35246,14124,11942,1812,11,6,16,118,46,3,0,17,0,0
3,약수,2645,1249,848,994,1,3,8,53,12,1,0,11,0,1,10538,4512,3211,1594,3,5,14,74,13,2,0,15,0,1,30645,12924,10171,2522,13,7,22,105,26,2,1,20,1,3
3,동대입구,1450,757,611,455,0,2,8,7,9,1,1,4,2,1,5811,2540,1755,988,12,3,11,9,12,1,1,10,2,1,15735,7211,5023,2716,15,5,24,70,18,1,1,23,2,3
3,충무로,1636,1001,577,4379,1,6,61,33,8,2,0,16,3,1,3343,1927,1259,9077,3,9,122,60,13,4,0,37,5,1,6827,3293,2318,14574,21,19,387,174,31,7,0,77,14,2
3,을지로3가,202,148,92,2921,2,2,59,20,3,1,0,17,0,0,1892,1040,766,16458,4,13,413,182,45,5,0,72,10,4,4843,2798,1991,25600,6,25,560,258,64,10,0,105,14,10
3,종로3가,739,474,413,4059,0,8,109,82,29,5,0,32,4,5,2786,1836,1209,14115,2,10,150,103,35,5,0,44,4,9,5312,3085,2293,21395,4,20,323,169,54,7,0,86,9,25
3,안국,1928,942,725,1006,9,5,14,22,16,2,0,6,2,10,3854,1920,1479,3610,12,12,81,60,31,3,0,27,2,31,7003,3633,2930,9378,14,25,164,120,48,7,0,46,6,37
3,경복궁,2578,1201,1000,2604,1,19,92,77,22,4,1,19,2,8,5097,2319,2021,5087,1,24,160,120,37,4,1,34,2,23,10491,4699,4158,7173,6,39,228,166,46,8,1,51,3,27
3,독립문,2676,1120,1013,306,2,4,4,16,13,0,0,5,0,3,12732,4703,441,403,4,4,5,22,17,0,0,7,0,3,22475,8757,7804,886,5,13,11,48,42,3,0,9,0,5
3,무악재,4099,1469,1358,235,0,0,1,12,3,0,0,2,0,0,11680,4398,3985,410,3,0,1,20,11,0,0,3,0,0,19661,7517,6730,671,4,1,4,39,16,0,0,4,0,0
3,홍제,3055,1405,797,505,3,2,8,36,8,1,0,5,0,0,12678,5314,3603,1477,5,4,18,90,15,1,0,8,0,0,28857,11505,8376,2281,9,5,23,132,35,1,0,13,0,0
3,녹번,2593,1108,782,213,2,1,2,9,4,1,0,2,0,1,8760,3712,2933,567,2,1,7,25,7,1,0,5,0,1,18899,7499,6025,823,6,4,7,45,19,2,0,7,0,1
3,불광,1843,979,692,893,0,0,9,41,9,0,1,5,2,0,12153,5824,4440,1824,1,6,34,110,21,2,1,11,2,0,30854,13502,10240,2409,3,8,38,138,29,2,1,16,3,0
